,Name,file,file_path,id,path,size,status
78,World Bank scraper,errors.log,./hdxscraper-worldbank/errors.log,xnemvl4,./hdxscraper-worldbank,9542,OK
79,World Bank scraper,worldbank.py,./hdxscraper-worldbank/worldbank.py,xnemvl4,./hdxscraper-worldbank,7587,OK
80,World Bank scraper,.coveragerc,./hdxscraper-worldbank/.coveragerc,xnemvl4,./hdxscraper-worldbank,159,OK
81,World Bank scraper,.travis.yml,./hdxscraper-worldbank/.travis.yml,xnemvl4,./hdxscraper-worldbank,348,OK
82,World Bank scraper,requirements.txt,./hdxscraper-worldbank/requirements.txt,xnemvl4,./hdxscraper-worldbank,45,OK
83,World Bank scraper,.gitignore,./hdxscraper-worldbank/.gitignore,xnemvl4,./hdxscraper-worldbank,1072,OK
84,World Bank scraper,README.md,./hdxscraper-worldbank/README.md,xnemvl4,./hdxscraper-worldbank,762,OK
85,World Bank scraper,LICENSE,./hdxscraper-worldbank/LICENSE,xnemvl4,./hdxscraper-worldbank,1079,OK
86,World Bank scraper,run.py,./hdxscraper-worldbank/run.py,xnemvl4,./hdxscraper-worldbank,2501,OK
87,World Bank scraper,test-requirements.txt,./hdxscraper-worldbank/test-requirements.txt,xnemvl4,./hdxscraper-worldbank,52,OK
88,World Bank scraper,project_configuration.yml,./hdxscraper-worldbank/config/project_configuration.yml,xnemvl4,./hdxscraper-worldbank/config,799,OK
89,World Bank scraper,hdx_topline_dataset_static.yml,./hdxscraper-worldbank/config/hdx_topline_dataset_static.yml,xnemvl4,./hdxscraper-worldbank/config,322,OK
90,World Bank scraper,smtp_configuration.yml,./hdxscraper-worldbank/config/smtp_configuration.yml,xnemvl4,./hdxscraper-worldbank/config,127,OK
91,World Bank scraper,hdx_dataset_static.yml,./hdxscraper-worldbank/config/hdx_dataset_static.yml,xnemvl4,./hdxscraper-worldbank/config,376,OK
92,World Bank scraper,__init__.py,./hdxscraper-worldbank/tests/__init__.py,xnemvl4,./hdxscraper-worldbank/tests,0,OK
93,World Bank scraper,test_worldbank.py,./hdxscraper-worldbank/tests/test_worldbank.py,xnemvl4,./hdxscraper-worldbank/tests,8864,OK
94,World Bank scraper,project_configuration.yml,./hdxscraper-worldbank/tests/config/project_configuration.yml,xnemvl4,./hdxscraper-worldbank/tests/config,60,OK
95,World Bank scraper,index.html,./tool/http/index.html,xnemvl4,./tool/http,1676,OK
96,World Bank scraper,worldbank_topline.csv,./tmp/worldbank_topline.csv,xnemvl4,./tmp,135865,OK
